Страна;Кто предложил;Событие;Вариант ответа;Тип СМИ;Реакция СМИ
armenia;Мэр Еревана;В страну хлынули десятки тысяч айтишников-релокантов. Цены на аренду жилья улетели в космос.;Ввести налоговые льготы для IT-компаний;Провластное;Исторический шанс для нашей экономики. Сегодня правительство утвердило беспрецедентный пакет налоговых льгот для IT-отрасли. Эксперты заявляют, что благодаря этому шагу мы стремительно превращаемся в настоящую Силиконовую Долину Кавказа, привлекая лучшие умы и гигантские инвестиции.
armenia;Мэр Еревана;В страну хлынули десятки тысяч айтишников-релокантов. Цены на аренду жилья улетели в космос.;Ввести налоговые льготы для IT-компаний;Либеральное;Капитуляция перед релокантами. Власть ввела льготы для приезжих айтишников, полностью проигнорировав катастрофическую ситуацию на рынке недвижимости. Коренные ереванцы вынуждены съезжать на окраины, не справляясь с космическими ценами на аренду жилья, пока 'гости' наслаждаются налоговым раем.
armenia;Мэр Еревана;В страну хлынули десятки тысяч айтишников-релокантов. Цены на аренду жилья улетели в космос.;Ограничить въезд и повысить налоги нерезидентам;Провластное;Защита интересов граждан — наш безусловный приоритет. Введение повышенных налогов для нерезидентов позволит охладить перегретый рынок недвижимости и направить дополнительные средства в социальный бюджет, защитив простых армян от спекулятивного роста цен.
armenia;Мэр Еревана;В страну хлынули десятки тысяч айтишников-релокантов. Цены на аренду жилья улетели в космос.;Ограничить въезд и повысить налоги нерезидентам;Либеральное;Очередной выстрел себе в ногу. Вводя жесткие ограничения для айтишников, правительство буквально выгоняет из страны курицу, несущую золотые яйца. Мы добровольно упускаем исторический шанс на технологический рывок ради дешевого популизма.
armenia;Глава Центробанка;Из-за притока валюты от айтишников драм сильно укрепился. Наши экспортеры разоряются!;Искусственно ослабить драм (интервенции);Провластное;Своевременное вмешательство Центробанка спасает национальных производителей. Искусственное ослабление драма путем валютных интервенций позволит сохранить конкурентоспособность нашего экспорта на мировых рынках и предотвратит массовые банкротства предприятий.
armenia;Глава Центробанка;Из-за притока валюты от айтишников драм сильно укрепился. Наши экспортеры разоряются!;Искусственно ослабить драм (интервенции);Либеральное;Игры с курсом за счет населения. ЦБ начал искусственно ослаблять национальную валюту, разгоняя инфляцию. Вместо структурных реформ правительство решает проблемы экспортеров, залезая в карманы простых граждан через обесценивание их сбережений.
armenia;Глава Центробанка;Из-за притока валюты от айтишников драм сильно укрепился. Наши экспортеры разоряются!;Ничего не делать, рынок сам разберется;Провластное;Крепкий драм — показатель стабильной и здоровой экономики! Центробанк принял мудрое решение не вмешиваться в рыночные процессы. Сильная национальная валюта делает импортные товары доступнее для населения и укрепляет доверие инвесторов к нашей стране.
armenia;Глава Центробанка;Из-за притока валюты от айтишников драм сильно укрепился. Наши экспортеры разоряются!;Ничего не делать, рынок сам разберется;Либеральное;Экспортный коллапс при полном бездействии властей. Решение ЦБ отпустить драм в свободное плавание уже привело к остановке нескольких крупных фабрик. Наш экспорт становится неконкурентоспособным, и тысячи людей рискуют оказаться на улице.
armenia;Министр Юстиции;Релоканты просят упростить получение гражданства. Националисты против.;Выдавать паспорта за инвестиции;Провластное;Новая программа инвестиционного гражданства открывает блестящие перспективы. Выдавая паспорта крупным инвесторам, мы не только привлекаем миллиарды в экономику, но и обогащаем нацию талантливыми, состоятельными людьми, которые связывают свое будущее с Арменией.
armenia;Министр Юстиции;Релоканты просят упростить получение гражданства. Националисты против.;Выдавать паспорта за инвестиции;Либеральное;Распродажа родины оптом и в розницу. Выдача армянских паспортов за деньги превращает наше гражданство в дешевый товар на международном рынке. Никакой проверки лояльности или знания культуры — только коммерция, унижающая достоинство нации.
